items	name	Clade	Family	Order	common_name	threat_to_humans	IUCN	IUCN_abr	fisheries	aquaculture	gamefish	bait	aquarium	env_milieu!freshwater	env_milieu!brackish	env_milieu!marine	env_zone	env_migration	env_depth_range_min	env_depth_range_max	dh_range	max_published_weight	max_reported_age	fao_status	Africa_Inland_Waters	North_America_Inland_waters	South_America_Inland_waters	Asia_Inland_waters	Europe_Inland_waters	Oceania_Inland_waters	Antarctica_Inland_waters	Arctic_Ocean	Atlantic_Antarctic	Atlantic_Eastern_Central	Atlantic_Northeast	Atlantic_Northwest	Atlantic_Southeast	Atlantic_Southwest	Atlantic_Western_Central	Indian_Ocean_Antarctic	Indian_Ocean_Eastern	Indian_Ocean_Western	Mediterranean_and_Black_Sea	Pacific_Antarctic	Pacific_Eastern_Central	Pacific_Northeast	Pacific_Northwest	Pacific_Southeast	Pacific_Southwest	Pacific_Western_Central
Abalistes_stellatus_E00936	Abalistes_stellatus_E00936	Clade42	Balistidae	Tetraodontiformes		Harmless	Not Evaluated	NE						0	0	1	reef-associated		7	350	Tropical	0	0	native																	yes	yes			yes		yes			yes
Abbottina_rivularis2_I2681-158	Abbottina_rivularis2_I2681-158	Clade11d	Gobionidae	Cypriniformes	Chinese false gudgeon	Harmless	Not Evaluated	NE						1	1	0	benthopelagic		0	0	Subtropical	0	0	native				yes																			yes			
Ablennes_hians_E00162	Ablennes_hians_E00162	Clade41	Belonidae	Beloniformes	Flat needlefish	Harmless	Least Concern	LC	minor commercial		yes			0	1	1	reef-associated	oceanodromous	0	3	Subtropical	4.8	0	native										yes		yes	yes	yes	yes		yes	yes			yes		yes	yes	yes	yes
Abramites_hypselonotus_P02_F10_RG26	Abramites_hypselonotus_P02_F10_RG26	Clade12b	Anostomidae	Characiformes	Marbled headstander	Harmless	Not Evaluated	NE	subsistence fisheries				commercial	1	0	0	pelagic		0	0	Tropical	0	0	endemic			yes																							
Abudefduf_saxatilis_E00820	Abudefduf_saxatilis_E00820	Clade41	Pomacentridae	Incertae sedis in Ovalentaria	Sergeant-major	Harmless	Least Concern	LC	minor commercial				commercial	0	0	1	reef-associated	non-migratory	0	20	Subtropical	0.2	0	native										yes		yes	yes	yes	yes				yes							
Abudefduf_sexfasciatus_E00881	Abudefduf_sexfasciatus_E00881	Clade41	Pomacentridae	Incertae sedis in Ovalentaria	Scissortail sergeant	Harmless	Least Concern	LC	minor commercial				public aquariums	0	0	1	reef-associated	non-migratory	1	20	Tropical	0	0	native																	yes	yes			yes		yes	yes	yes	yes
Abudefduf_vaigiensis_E00890	Abudefduf_vaigiensis_E00890	Clade41	Pomacentridae	Incertae sedis in Ovalentaria	Indo-Pacific sergeant	Reports of ciguatera poisoning	Least Concern	LC	subsistence fisheries				commercial	0	0	1	reef-associated	oceanodromous	1	15	Tropical	0	0	native													yes				yes	yes	yes		yes		yes		yes	yes
Acanthaphritis_unoorum_N24985	Acanthaphritis_unoorum_N24985	Clade42	Percophidae	Pempheriformes		Harmless	Not Evaluated	NE						0	0	1	demersal		0	100	Tropical	0	0	endemic																							yes			
Acantharchus_pomotis_G01185	Acantharchus_pomotis_G01185	Clade42	Centrarchidae	Centrarchiformes	Mud sunfish	Harmless	Least Concern	LC						1	0	0	demersal		0	0	Subtropical	0	0	endemic		yes																								
Acanthemblemaria_aspera_E00320	Acanthemblemaria_aspera_E00320	Clade41	Chaenopsidae	Blenniiformes	Roughhead blenny	Harmless	Least Concern	LC					commercial	0	0	1	reef-associated		0	0	Subtropical	0	0	endemic															yes											
